Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
*Create your own 1-2 Topping Large Ultimate Cheesy Crust Slice (Limited Time),119.2,16.0,33,18,2,3,530,40,330,9.0,1.5,$9.99
*Create your own 3+ Topping Large Ultimate Cheesy Crust Slice (Limited Time),119.2,16.0,33,18,2,3,530,40,330,9.0,1.5,$9.99
Backyard BBQ Chicken - Large Ultimate Cheesy Crust Slice (Limited Time),148.8,16.0,39,19,6,2,670,45,380,8.0,0.0,$16.99
Buffalo Chicken - Large Ultimate Cheesy Crust Slice (Limited Time),148.2,15.0,37,19,2,2,850,45,360,8.0,0.0,$16.99
Cheese - Large Ultimate Cheesy Crust Slice (Limited Time),142.2,17.0,35,20,2,3,660,45,360,10.0,1.5,$15.49
Chicken-Bacon Parmesan - Large Ultimate Cheesy Crust Slice (Limited Time),153.5,19.0,34,22,2,3,680,50,380,10.0,1.5,$16.99
Hawaiian Chicken - Large Ultimate Cheesy Crust Slice (Limited Time),160.5,16.0,36,21,4,3,720,45,360,9.0,1.5,$16.99
Meat Lover's® - Large Ultimate Cheesy Crust Slice (Limited Time),163.5,25.0,35,23,2,3,900,60,440,12.0,1.5,$15.99
Pepperoni - Large Ultimate Cheesy Crust Slice (Limited Time),141.4,20.0,35,20,2,3,710,50,380,10.0,1.5,$15.99
Pepperoni Lover's® - Large Ultimate Cheesy Crust Slice (Limited Time),156.2,24.0,35,23,3,3,820,60,430,12.0,1.5,$15.99
Supreme - Large Ultimate Cheesy Crust Slice (Limited Time),163.9,20.0,36,20,3,3,730,50,390,11.0,1.5,$15.99
Ultimate Cheese Lover's® - Large Ultimate Cheesy Crust Slice (Limited Time),142.0,18.0,33,20,1,2,660,50,380,10.0,0.5,$12.49
Veggie Lover's® - Large Ultimate Cheesy Crust Slice (Limited Time),165.1,16.0,36,18,3,4,650,40,350,9.0,1.5,$15.99
Backyard BBQ Chicken - Personal Pan Pizza® Slice,78.5,6.0,25,8,8,1,370,15,180,2.0,0.0,$16.49
Buffalo Chicken - Personal Pan Pizza® Slice,77.3,5.0,22,7,2,1,570,15,160,2.0,0.0,$16.49
Chicken-Bacon Parmesan - Personal Pan Pizza® Slice,77.4,8.0,17,9,2,1,350,20,180,3.0,0.0,$16.49
Hawaiian Chicken - Personal Pan Pizza® Slice,76.7,5.0,18,8,3,1,340,15,150,2.0,0.0,$15.49
Meat Lover's® - Personal Pan Pizza® Slice,82.4,12.0,17,9,2,1,470,25,210,4.5,0.0,$15.49
Pepperoni Lover's® - Personal Pan Pizza® Slice,72.0,9.0,17,8,2,1,370,20,180,3.5,0.0,$15.49
Supreme - Personal Pan Pizza® Slice,77.7,8.0,18,7,2,1,360,15,170,3.0,0.0,$15.49
Veggie Lover's® - Personal Pan Pizza® Slice,73.8,5.0,18,6,2,1,290,10,140,2.0,0.0,$15.49
Hawaiian Chicken - Small Original Pan Slice,70.4,5.0,16,7,2,1,310,15,140,2.0,0.0,$15.49
Meat Lover's® - Small Original Pan Slice,73.2,10.0,16,8,2,1,410,20,190,3.5,0.0,$15.49
Supreme - Small Original Pan Slice,71.5,7.0,16,6,2,1,320,15,160,2.5,0.0,$15.49
Veggie Lover's® - Small Original Pan Slice,70.5,5.0,16,5,2,1,270,10,130,2.0,0.0,$15.49
Meat Lover's® - Small Hand Tossed Slice,71.9,9.0,17,7,1,1,380,20,180,3.5,0.0,$15.49
Supreme - Small Hand Tossed Slice,70.2,6.0,17,6,1,1,280,15,150,2.5,0.0,$15.49
Backyard BBQ Chicken - Medium Original Pan Slice,109.3,10.0,33,11,6,2,450,25,270,4.0,0.0,$12.49
Buffalo Chicken - Medium Original Pan Slice,111.9,9.0,31,11,2,2,680,20,240,3.5,0.0,$16.49
Cheese - Medium Original Pan Slice,105.7,10.0,28,11,1,2,450,25,250,4.5,0.0,$15.49
Chicken-Bacon Parmesan - Medium Original Pan Slice,114.6,13.0,27,12,1,2,470,30,270,4.5,0.0,$12.49
Hawaiian Chicken - Medium Original Pan Slice,118.6,9.0,29,11,2,2,490,25,240,3.5,0.0,$12.49
