Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
Baconator,,62.0,40,59,8,2,1630,205,950,24.0,3.0,$6.09
Dave's Double,,51.0,41,49,8,3,1280,175,810,20.0,3.0,$2.09
Dave's Single,,34.0,40,30,9,3,1110,100,570,13.0,1.5,$1.49
Dave's Triple,,72.0,43,71,9,3,1650,260,1090,30.0,4.0,$6.09
Double Stack,,21.0,26,25,6,1,740,90,390,9.0,1.5,$2.09
Jr. Bacon Cheeseburger,,22.0,25,19,5,1,680,65,380,8.0,1.0,$1.99
Jr. Cheeseburger,,13.0,26,16,6,1,660,50,280,6.0,1.0,$0.99
Jr. Cheeseburger Deluxe,,19.0,27,16,7,2,660,55,340,7.0,1.0,$1.89
Son of Baconator,,39.0,37,34,7,2,1280,125,630,15.0,1.5,$4.69
3 Piece Chicken Tenders,,16.0,22,24,0,0,1010,75,330,2.5,0.0,$3.69
4 Piece Chicken Nuggets,,11.0,10,9,0,0,340,35,170,2.0,0.0,$3.69
4 Piece Chicken Tenders,,21.0,29,32,1,0,1350,100,430,3.5,0.0,$3.69
6 Picece Chicken Nuggets,,16.0,14,13,0,1,510,50,250,3.5,0.0,$3.69
6 Piece Chicken Tenders,,32.0,43,48,1,0,2020,150,650,5.0,0.0,$3.69
10 Piece Chicken Nuggets,,27.0,24,22,0,1,850,80,420,5.0,0.0,$3.69
Crispy Chicken BLT,,23.0,35,20,5,2,950,50,420,6.0,0.0,$0.99
Crispy Chicken Sandwich,,16.0,33,14,4,2,600,30,330,3.0,0.0,$0.99
Grilled Asiago Ranch Club,,23.0,36,43,6,3,1220,120,530,7.0,0.0,$5.49
Grilled Chicken Sandwich,,10.0,38,34,8,3,830,90,370,2.0,0.0,$0.99
Grilled Chicken Wrap,,10.0,24,20,3,2,640,55,270,3.5,0.0,$3.79
Homestyle Asiago Ranch Chicken Club,,34.0,52,38,7,3,1650,100,660,9.0,0.0,$5.49
Homestyle Chicken Sandwich,,22.0,51,28,6,3,1150,70,510,4.0,0.0,$4.69
Spicy Asiago Ranch Club,,32.0,55,38,6,4,1530,100,670,9.0,0.0,$5.49
Spicy Chicken Sandwich,,20.0,54,29,6,4,1030,65,510,3.5,0.0,$0.99
Spicy Chicken Wrap,,20.0,30,18,2,2,850,50,370,5.0,0.0,$4.69
"Apple Pecan Chicken Salad, Full Size",,24.0,52,38,40,7,1020,115,560,7.0,0.0,$6.69
"Apple Pecan Chicken Salad, Half Size",,17.0,29,20,22,4,550,55,340,4.0,0.0,$4.69
"Berry Burst Chicken Salad, Full Size",,17.0,41,41,29,7,1090,105,460,4.5,0.0,$6.69
"Berry Burst Chicken Salad, Half Size",,13.0,23,23,15,5,570,50,290,2.5,0.0,$4.69
Caesar Side Salad,,15.0,19,8,4,3,500,30,240,4.0,0.0,$1.49
