Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Bourbon BBQ Brisket Sandwich,218g,33g,51g,38g,15g,2g,1460mg,105mg,650,12g,1g
Bourbon BBQ Chicken Sandwich,246g,31g,66g,38g,16g,3g,1990mg,90mg,690,9g,0g
Bourbon BBQ Steak Sandwich,232g,21g,52g,37g,16g,2g,1770mg,80mg,540,8g,0g
Bourbon BBQ Triple Stack Sandwich,359g,43g,67g,65g,16g,4g,2790mg,170mg,910,13g,1g
Greek Gyro Salad,228g,37g,11g,10g,4g,2g,700mg,55mg,420,9g,0g
Gyro Loaded Curly Fries,261g,59g,57g,14g,3g,6g,1650mg,55mg,820,12g,0g
"Orange Cream Shake, Large",752g,29g,156g,23g,130g,1g,640mg,95mg,950,19g,0.5g
"Orange Cream Shake, Medium",582g,22g,124g,18g,103g,1g,490mg,75mg,750,15g,0.5g
"Orange Cream Shake, Small",407g,17g,86g,12g,72g,1g,340mg,55mg,530,11g,0g
"Orange Cream Shake, Snack",249g,8g,54g,8g,45g,0g,210mg,25mg,310,5g,0g
Super Greek Salad,382g,53g,39g,22g,7g,5g,1310mg,85mg,720,15g,0g
Traditional Greek Gyro,273g,44g,55g,23g,6g,4g,1360mg,75mg,710,13g,0g
Loaded Italian,308g,40g,49g,32g,7g,3g,2270mg,100mg,680,14g,0.5g
Reuben,308g,31g,62g,37g,5g,4g,2420mg,80mg,680,8g,0.5g
Roast Beef Gyro,273g,29g,48g,24g,5g,3g,1290mg,60mg,550,7g,1g
Smokehouse Brisket,203g,35g,42g,33g,7g,2g,1240mg,100mg,600,12g,1g
Turkey Gyro,273g,20g,48g,25g,5g,3g,1520mg,45mg,470,3.5g,0g
Add Arby's Sauce to Sandwich,14g,0g,3g,0g,2g,0g,180mg,0mg,15,0g,0g
Add Horsey Sauce to Sandwich,14g,5g,3g,0g,2g,0g,150mg,5mg,60,1g,0g
Classic Beef 'n Cheddar Sandwich,195g,20g,45g,23g,9g,2g,1280mg,50mg,450,6g,1g
Classic French Dip & Swiss/Au Jus Sandwich,327g,22g,51g,34g,3g,2g,2550mg,85mg,540,10g,1g
Classic Roast Beef Sandwich,154g,14g,37g,23g,5g,2g,970mg,50mg,360,5g,0.5g
Double Beef 'n Cheddar Sandwich,301g,32g,48g,39g,9g,2g,2100mg,100mg,630,11g,1.5g
Double Roast Beef Sandwich,239g,24g,38g,38g,5g,2g,1610mg,95mg,510,9g,1.5g
Half Pound Beef 'n Cheddar Sandwich,358g,39g,48g,49g,9g,2g,2530mg,130mg,740,14g,2g
Half Pound French Dip & Swiss/Au Jus Sandwich,441g,35g,52g,55g,3g,2g,3400mg,150mg,740,16g,2g
Half Pound Roast Beef Sandwich,295g,30g,38g,48g,5g,2g,2040mg,130mg,610,12g,2g
Fire-Roasted Philly Sandwich,291g,32g,46g,42g,4g,3g,1950mg,105mg,640,11g,0.5g
Three Cheese Steak Sandwich,255g,36g,44g,42g,7g,2g,1750mg,115mg,650,15g,1g
Grand Turkey Club Sandwich,233g,24g,37g,30g,9g,2g,1610mg,65mg,480,7g,0g
Roast Turkey & Swiss Sandwich,326g,28g,79g,38g,15g,5g,1930mg,65mg,710,7g,0g
Roast Turkey & Swiss Wrap,261g,27g,39g,30g,6g,4g,1640mg,65mg,520,9g,0g
Roast Turkey Ranch & Bacon Sandwich,344g,34g,79g,45g,16g,5g,2420mg,80mg,800,10g,0.5g
Roast Turkey Ranch & Bacon Wrap,279g,34g,39g,37g,6g,4g,2130mg,85mg,620,11g,0.5g
Buttermilk Buffalo Chicken Sandwich,245g,26g,52g,28g,6g,4g,2050mg,65mg,550,5g,0g
Buttermilk Chicken Bacon & Swiss Sandwich,289g,33g,55g,38g,9g,4g,1700mg,95mg,660,10g,0g
Buttermilk Chicken Cordon Bleu Sandwich,264g,36g,52g,41g,7g,3g,1940mg,115mg,700,10g,0g
Buttermilk Crispy Chicken Sandwich,257g,27g,52g,28g,6g,4g,1420mg,70mg,560,5g,0g
"Chicken Tenders, Buffalo Dipping Sauce Adds",28g,1g,2g,0g,0g,0g,720mg,0mg,10,0g,0g
"Chicken Tenders, Honey Mustard Dipping Sauce Adds",28g,13g,5g,0g,4g,0g,130mg,10mg,140,2g,0g
"Chicken Tenders, Ranch Dipping Sauce Adds",28g,11g,2g,1g,1g,0g,190mg,20mg,100,2.5g,0g
"Chicken Tenders, Tangy Barbeque Sauce Adds",28g,0g,9g,0g,8g,0g,350mg,0mg,40,0g,0g
Prime-Cut Chicken Tenders (3),131g,17g,28g,23g,0g,2g,950mg,45mg,360,2.5g,0g
Prime-Cut Chicken Tenders (5),219g,28g,47g,39g,0g,3g,1590mg,75mg,600,4g,0g
Balsamic Vinaigrette Dressing,43g,12g,4g,0g,4g,0g,470mg,0mg,130,2g,0g
Buttermilk Ranch Dressing,43g,22g,2g,0g,1g,0g,330mg,10mg,210,3.5g,0g
Chopped Farmhouse Salad with Crispy Chicken,323g,24g,26g,28g,4g,4g,1000mg,65mg,430,8g,0g
Chopped Farmhouse Salad with Roast Turkey,285g,13g,8g,22g,5g,2g,870mg,55mg,230,7g,0g
Chopped Side Salad,128g,5g,4g,5g,2g,1g,100mg,15mg,70,2.5g,0g
Dijon Honey Mustard Dressing,43g,16g,8g,0g,7g,0g,230mg,10mg,180,2.5g,0g
Light Italian Dressing,43g,1g,2g,0g,2g,0g,720mg,0mg,20,0g,0g
Buffalo Chicken Slider,106g,13g,31g,12g,2g,2g,860mg,20mg,290,2g,0g
