Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Avocado Bacon Burger,334g,52g,51g,37g,7g,4g,1600mg,90mg,820,15g,1g
Avocado Bacon Burger Whatameal,1368g,73g,216g,42g,119g,8g,1910mg,90mg,1650,18g,1g
Avocado Bacon Burger Whatameal with Lower Calorie Sides,1339g,52g,62g,37g,12g,5g,1630mg,90mg,860,15g,1g
Bacon & Cheese Whataburger,354g,37g,62g,39g,12g,4g,1910mg,80mg,750,13g,1g
Bacon & Cheese Whataburger Whatameal,1389g,58g,226g,44g,124g,8g,2210mg,80mg,1580,16g,1g
Bacon & Cheese Whataburger Whatameal with Lower Calorie Sides,1314g,37g,70g,39g,15g,4g,1940mg,85mg,780,13g,1g
Double Meat Whataburger,400g,44g,62g,47g,12g,4g,1470mg,90mg,830,14g,2g
Double Meat Whataburger Jr.,208g,20g,37g,23g,6g,2g,870mg,40mg,420,6g,1g
Double Meat Whataburger Jr. Whatameal,853g,35g,141g,26g,76g,5g,1070mg,45mg,960,8g,1g
Double Meat Whataburger Jr. Whatameal with Lower Calorie Sides,851g,20g,46g,23g,11g,3g,890mg,45mg,460,6g,1g
Double Meat Whataburger Jr. with Cheese,221g,24g,37g,26g,6g,2g,1090mg,50mg,470,9g,1g
Double Meat Whataburger Whatameal,1435g,65g,226g,52g,124g,8g,1780mg,90mg,1660,17g,2g
Double Meat Whataburger Whatameal with Lower Calorie Sides,1405g,44g,72g,47g,17g,5g,1500mg,90mg,870,14g,2g
Jalapeno & Cheese Whataburger,352g,32g,63g,34g,12g,4g,1800mg,65mg,680,12g,1g
Jalapeno & Cheese Whataburger Whatameal,1387g,53g,227g,39g,124g,8g,2100mg,65mg,1510,14g,1g
Jalapeno & Cheese Whataburger Whatameal with Lower Calorie Sides,1357g,32g,73g,34g,17g,5g,1830mg,65mg,720,12g,1g
Sweet & Spicy Bacon Burger,392g,62g,69g,60g,18g,3g,2310mg,140mg,1080,23g,2g
Sweet & Spicy Bacon Burger Jr.,209g,33g,42g,32g,11g,1g,1350mg,80mg,600,13g,1g
Sweet & Spicy Bacon Burger Jr. Whatameal,861g,47g,146g,35g,81g,4g,1550mg,80mg,1140,15g,1g
Sweet & Spicy Bacon Burger Jr. Whatameal with Lower Calorie Sides,859g,33g,51g,32g,16g,3g,1370mg,80mg,640,13g,1g
Sweet & Spicy Bacon Burger Whatameal,1427g,83g,233g,65g,130g,7g,2620mg,140mg,1910,25g,2g
Sweet & Spicy Bacon Burger Whatameal with Lower Calorie Sides,1397g,62g,79g,60g,23g,4g,2340mg,140mg,1120,23g,2g
Triple Meat Whataburger,484g,63g,62g,65g,12g,4g,1720mg,130mg,1080,21g,3g
Triple Meat Whataburger Whatameal,1519g,84g,226g,70g,124g,8g,2020mg,135mg,1900,23g,3g
Triple Meat Whataburger Whatameal with Lower Calorie Sides,1489g,63g,72g,65g,17g,5g,1750mg,135mg,1120,21g,3g
Whataburger,316g,25g,62g,29g,12g,4g,1220mg,45mg,590,8g,1g
Whataburger Jr.,168g,11g,37g,14g,6g,2g,750mg,20mg,310,4g,0g
Whataburger Jr. Whatameal,820g,26g,142g,18g,77g,5g,950mg,20mg,850,5g,0g
