Item,Price
Classic Roast Beef ,$3.29
Classic Roast Beef - Meal ,$5.69
Mid Roast Beef ,$4.29
Mid Roast Beef - Meal ,$6.69
Max Roast Beef ,$5.29
Max Roast Beef - Meal ,$7.69
Classic Beef 'n Cheddar ,$3.99
Classic Beef 'n Cheddar - Meal ,$6.39
Mid Beef 'n Cheddar ,$4.99
Mid Beef 'n Cheddar - Meal ,$7.39
French Dip & Swiss ,$4.49
French Dip & Swiss - Meal ,$6.79
Smokehouse Brisket ,$5.59
Smokehouse Brisket - Meal ,$7.69
Corned Beef Reuben ,$4.99
Corned Beef Reuben - Meal ,$7.49
Angus Three Cheese & Bacon ,$5.59
Angus Three Cheese & Bacon - Meal ,$7.69
Angus Philly ,$5.59
Angus Philly - Meal ,$7.69
Roast Turkey Ranch & Bacon Sandwich ,$5.29
Roast Turkey Ranch & Bacon Sandwich - Meal ,$7.59
Roast Turkey Ranch & Bacon Wrap ,$5.29
Roast Turkey Ranch & Bacon Wrap - Meal ,$7.59
Roast Turkey & Swiss Sandwich ,$4.99
Roast Turkey & Swiss Sandwich - Meal ,$7.49
Roast Turkey & Swiss Wrap ,$4.99
Roast Turkey & Swiss Wrap - Meal ,$7.49
Grand Turkey Club ,$4.49
Grand Turkey Club - Meal ,$6.79
Crispy Chicken ,$3.99
Crispy Chicken - Meal ,$6.49
Chicken Bacon & Swiss ,$4.59
Chicken Bacon & Swiss - Meal ,$6.99
Chicken Cordon Bleu ,$4.59
Chicken Cordon Bleu - Meal ,$6.99
Prime-Cut Chicken Tenders 3 Pc.,$3.69
Prime-Cut Chicken Tenders 5 Pc.,$5.19
Prime-Cut Chicken Tenders - Meal 3 Pc.,$6.19
Prime-Cut Chicken Tenders - Meal 5 Pc.,$7.69
Brisket Bacon Flatbread (Limited Time) ,$5.59
Brisket Bacon Flatbread - Meal (Limited Time) ,$7.69
Smoked Brisket (Limited Time) ,$5.59
Smoked Brisket - Meal (Limited Time) ,$7.69
Spicy Jalapeno Brisket (Limited Time) ,$5.59
Spicy Jalapeno Brisket - Meal (Limited Time) ,$7.69
Make It Medium Meal ,$0.59
Make It Large Meal ,$0.99
Jr. Roast Beef ,$1.59
Ham Melt ,$1.59
Jr. Cheddar Melt ,$1.59
Jr. Bacon Cheddar Melt ,$2.09
French Fries (Curly or Waffle) Snack,$1.19
Chips ,$1.29
"Shake (Chocolate, Jamocha or Vanilla) 12 oz.",$1.29
Drink 16 oz.,$1.09
"Turnovers (Apple, Cherry, or Chocolate) ",$1.39
Molten Lava Cake ,$1.99
Chicken Slider ,$1.49
Corned Beef Slider ,$1.49
Ham Slider ,$1.49
Roast Beef Slider ,$1.49
Jalapeno Roast Beef Slider ,$1.49
Jr. Turkey & Cheese ,$3.99
Jr. Roast Beef ,$3.99
Ham Melt ,$3.99
Prime-Cut Chicken Tenders 2 Pc.,$3.99
Farmhouse Salad (Crispy Chicken or Roast Turkey) ,$4.99
Side Salad ,$1.69
Waffle Fries Small,$1.69
Waffle Fries Medium,$1.99
Waffle Fries Large,$2.19
Curly Fries Small,$1.69
Curly Fries Medium,$1.99
Curly Fries Large,$2.19
Potato Cakes 2 Pc.,$1.69
Potato Cakes 3 Pc.,$1.99
Potato Cakes 4 Pc.,$2.19
Mozzarella Sticks 4 Pc.,$2.99
Mozzarella Sticks 6 Pc.,$4.69
Jalapeno Bites 5 Pc.,$2.99
Jalapeno Bites 8 Pc.,$4.69
Steakhouse Onion Rings ,$2.29
"Shake (Chocolate, Jamocha or Vanilla) Small",$1.99
"Shake (Chocolate, Jamocha or Vanilla) Medium",$2.49
"Shake (Chocolate, Jamocha or Vanilla) Large",$2.99
Pumpkin Cheesecake Shake (Limited Time) 20 oz.,$2.99
Molten Lava Cake ,$1.99
"Turnovers (Apple, Cherry, or Chocolate) ",$1.39
Soft Drink Small,$1.59
Soft Drink Medium,$1.79
Soft Drink Large,$1.99
Bottled Water ,$1.49
Iced Tea ,$2.29
