Item,Price
Chick-fil-A Chicken Sandwich ,$3.05
Chick-fil-A Chicken Sandwich - Combo ,$5.95
Chick-fil-A Chicken Deluxe Sandwich ,$3.65
Chick-fil-A Chicken Deluxe Sandwich - Combo ,$6.55
Spicy Chicken Sandwich ,$3.29
Spicy Chicken Sandwich - Combo ,$6.19
Spicy Chicken Deluxe Sandwich ,$3.89
Spicy Chicken Deluxe Sandwich - Combo ,$6.79
Chick-fil-A Nuggets 8 Pc.,$3.05
Chick-fil-A Nuggets 12 Pc.,$4.45
Chick-fil-A Nuggets - Combo 8 Pc.,$5.95
Chick-fil-A Nuggets - Combo 12 Pc.,$8.59
Chick-fil-A Nuggets (Grilled) 8 Pc.,$3.85
Chick-fil-A Nuggets (Grilled) 12 Pc.,$5.75
Chick-fil-A Nuggets (Grilled) - Combo 8 Pc.,$6.75
Chick-fil-A Nuggets (Grilled) - Combo 12 Pc.,$8.59
Chick-n-Strips 3 Pc.,$3.35
Chick-n-Strips 4 Pc.,$4.39
Chick-n-Strips - Combo 3 Pc.,$6.25
Chick-n-Strips - Combo 4 Pc.,$7.25
Grilled Chicken Sandwich ,$4.39
Grilled Chicken Sandwich - Combo ,$7.19
Grilled Chicken Club Sandwich ,$5.59
Grilled Chicken Club Sandwich - Combo ,$8.39
Chicken Salad Sandwich ,$3.99
Chicken Salad Sandwich - Combo ,$6.79
Grilled Chicken Cool Wrap ,$5.19
Grilled Chicken Cool Wrap - Combo ,$8.15
Soup & Salad (Large Chicken Soup and Side Salad) ,$8.35
Chilled Grilled Chicken Sub Sandwich (Limited Time) ,$4.79
Substitute Medium Premium Side ,$1.00
Upsize Fries & Drink ,$0.46
Waffle Potato Fries Small,$1.55
Waffle Potato Fries Medium,$1.65
Waffle Potato Fries Large,$1.85
Baked Potato with Butter ,$1.65
Yogurt Parfait ,$2.45
Fruit Cup Small,$2.05
Fruit Cup Medium,$2.75
Fruit Cup Large,$4.25
Side Salad ,$2.89
Chicken Soup Medium,$2.65
Chicken Soup Large,$4.35
Chicken Tortilla Soup (Limited Time) Medium,$3.75
Chicken Tortilla Soup (Limited Time) Large,$6.05
Superfood Salad (Limited Time) Medium,$2.89
Superfood Salad (Limited Time) Large,$3.89
Chicken Salad Cup Medium,$3.19
Chicken Salad Cup Large,$5.15
Loaded Baked Potato (Limited Time) ,$2.65
Nuggets 4 Pc.,$3.35
Nuggets 6 Pc.,$4.05
Grilled Nuggets 4 Pc.,$3.75
Grilled Nuggets 6 Pc.,$4.65
Chick-n-Strips 1 Pc.,$3.05
Chick-n-Strips 2 Pc.,$4.09
Asian Salad ,$7.19
Cobb Salad ,$7.19
Grilled Market Salad ,$7.19
"Hand-Spun Milkshakes (Cookies & Cream, Chocolate, Strawberry, or Vanilla) Small",$2.75
"Hand-Spun Milkshakes (Cookies & Cream, Chocolate, Strawberry, or Vanilla) Large",$3.15
Frosted Lemonade (Limited Time) ,$2.75
Icedream Cone Small,$1.25
Icedream Cone Large,$1.65
Icedream Cup Small,$1.59
Icedream Cup Large,$1.85
Icedream Topping ,$0.25
Chocolate Chunk Cookie 1 Pc.,$1.19
Chocolate Chunk Cookie 6 Pc.,$6.65
Chick-fil-A Chicken Biscuit ,$2.19
Chick-fil-A Chicken Biscuit - Combo ,$4.49
Chick-n-Minis 3 Pc.,$2.29
Chick-n-Minis 4 Pc.,$2.99
Chick-n-Minis - Combo 3 Pc.,$4.65
Chick-n-Minis - Combo 4 Pc.,$5.29
Buttered Biscuit ,$0.89
"Bacon, Egg & Cheese Biscuit ",$2.59
"Bacon, Egg & Cheese Biscuit - Combo ",$4.95
Spicy Chicken Biscuit ,$2.35
Spicy Chicken Biscuit - Combo ,$4.65
Breakfast Burrito (Chicken or Sausage) ,$2.55
Breakfast Burrito (Chicken or Sausage) - Combo ,$4.85
"Sausage, Egg & Cheese Biscuit ",$2.59
"Sausage, Egg & Cheese Biscuit - Combo ",$4.95
"Chicken, Egg & Cheese Bagel ",$3.39
"Chicken, Egg & Cheese Bagel - Combo ",$5.65
Oatmeal ,$2.69
Oatmeal & Fruit - Combo ,$6.69
Fruit Cup Small,$2.05
Fruit Cup Medium,$2.75
Fruit Cup Large,$4.25
Plain Bagel ,$1.29
Bagel with Cream Cheese ,$1.79
Hash Browns ,$0.99
Yogurt Parfait ,$2.45
Cinnamon Cluster ,$1.95
Fresh-Squeezed Lemonade (Regular or Diet) Small,$1.55
Fresh-Squeezed Lemonade (Regular or Diet) Medium,$1.79
Fresh-Squeezed Lemonade (Regular or Diet) Large,$2.09
Iced Tea (Sweet or Unsweetened) Small,$1.35
Iced Tea (Sweet or Unsweetened) Medium,$1.59
Iced Tea (Sweet or Unsweetened) Large,$1.85
Soft Drinks Small,$1.35
Soft Drinks Medium,$1.59
Soft Drinks Large,$1.85
Dasani Water Bottle,$1.59
Simply Orange Juice Bottle,$2.15
Apple Juice ,$1.09
Freshly-Brewed Tea 1 Gallon,$4.50
Fresh-Squeezed Lemonade 1 Gallon,$9.50
Iced Coffee (Original or Vanilla) Medium,$2.35
Iced Coffee (Original or Vanilla) Large,$2.65
Coffee Small,$1.65
Coffee Medium,$1.95
Coffee Large,$2.15
Coffee To-Go Box,$12.75
1% Milk Plain or Chocolate ,$1.19
