Item,Price
Hand Tossed Small (10'),$5.99
Hand Tossed Medium (12'),$7.99
Hand Tossed Large (14'),$9.99
Handmade Pan Medium (12'),$7.99
Crunchy Thin Crust Small (10'),$5.99
Crunchy Thin Crust Medium (12'),$7.99
Crunchy Thin Crust Large (14'),$9.99
Brooklyn Style Large (14'),$9.99
Brooklyn Style X-Large (16'),$11.99
Gluten Free Crust Small (10'),$8.99
Spinach & Feta (Hand Tossed or Thin Crust) Small (10'),$11.99
"Spinach & Feta (Hand Tossed, Handmade Pan or Thin Crust) Medium (12')",$13.99
"Spinach & Feta (Hand Tossed, Thin Crust or Brooklyn Style) Large (14')",$15.99
Spinach & Feta (Brooklyn Style) X-Large (16'),$17.99
Spinach & Feta (Gluten Free Crust) Small (10'),$14.99
Wisconsin 6 Cheese (Hand Tossed or Thin Crust) Small (10'),$11.99
"Wisconsin 6 Cheese (Hand Tossed, Handmade Pan or Thin Crust) Medium (12')",$13.99
"Wisconsin 6 Cheese (Hand Tossed, Thin Crust or Brooklyn Style) Large (14')",$15.99
Wisconsin 6 Cheese (Brooklyn Style) X-Large (16'),$17.99
Wisconsin 6 Cheese (Gluten Free Crust) Small (10'),$14.99
Honolulu Hawaiian (Hand Tossed or Thin Crust) Small (10'),$11.99
"Honolulu Hawaiian (Hand Tossed, Handmade Pan or Thin Crust) Medium (12')",$13.99
"Honolulu Hawaiian (Hand Tossed, Thin Crust or Brooklyn Style) Large (14')",$15.99
Honolulu Hawaiian (Brooklyn Style) X-Large (16'),$17.99
Honolulu Hawaiian (Gluten Free Crust) Small (10'),$14.99
Philly Cheese Steak (Hand Tossed or Thin Crust) Small (10'),$11.99
"Philly Cheese Steak (Hand Tossed, Handmade Pan or Thin Crust) Medium (12')",$13.99
"Philly Cheese Steak (Hand Tossed, Thin Crust or Brooklyn Style) Large (14')",$15.99
Philly Cheese Steak (Brooklyn Style) X-Large (16'),$17.99
Philly Cheese Steak (Gluten Free Crust) Small (10'),$14.99
Pacific Veggie (Hand Tossed or Thin Crust) Small (10'),$11.99
"Pacific Veggie (Hand Tossed, Handmade Pan or Thin Crust) Medium (12')",$13.99
"Pacific Veggie (Hand Tossed, Thin Crust or Brooklyn Style) Large (14')",$15.99
Pacific Veggie (Brooklyn Style) X-Large (16'),$17.99
Pacific Veggie (Gluten Free Crust) Small (10'),$14.99
Cali Chicken Bacon Ranch (Hand Tossed or Thin Crust) Small (10'),$11.99
"Cali Chicken Bacon Ranch (Hand Tossed, Handmade Pan or Thin Crust) Medium (12')",$13.99
"Cali Chicken Bacon Ranch (Hand Tossed, Thin Crust or Brooklyn Style) Large (14')",$15.99
Cali Chicken Bacon Ranch (Brooklyn Style) X-Large (16'),$17.99
Cali Chicken Bacon Ranch (Gluten Free Crust) Small (10'),$14.99
Fiery Hawaiian (Hand Tossed or Thin Crust) Small (10'),$11.99
"Fiery Hawaiian (Hand Tossed, Handmade Pan or Thin Crust) Medium (12')",$13.99
"Fiery Hawaiian (Hand Tossed, Thin Crust or Brooklyn Style) Large (14')",$15.99
Fiery Hawaiian (Brooklyn Style) X-Large (16'),$17.99
Fiery Hawaiian (Gluten Free Crust) Small (10'),$14.99
Buffalo Chicken (Hand Tossed or Thin Crust) Small (10'),$11.99
"Buffalo Chicken (Hand Tossed, Handmade Pan or Thin Crust) Medium (12')",$13.99
"Buffalo Chicken (Hand Tossed, Thin Crust or Brooklyn Style) Large (14')",$15.99
Buffalo Chicken (Brooklyn Style) X-Large (16'),$17.99
Buffalo Chicken (Gluten Free Crust) Small (10'),$14.99
Memphis BBQ Chicken (Hand Tossed or Thin Crust) Small (10'),$11.99
