Item,Price
2 Donuts (Pumpkin) ,$3.59
Reese Peanut Butter Square ,$3.19
Bagel with Cream Cheese ,$3.69
"Sausage, Egg & Cheese on a Croisssant - with Hash Browns ",$5.79
"Bacon, Egg & Cheese on a Bagel - with Hash Browns ",$5.79
Veggie Egg White Flatbread ,$4.59
"Ham, Egg & Cheese on an English Muffin - with Hash Browns ",$5.79
Big n' Toasted - with Hash Browns ,$6.19
"Wake-Up Wrap (Bacon, Ham, or Sausage) ",$3.09
Turkey Sausage Flatbread with Hash Browns ,$5.79
Snack N' Go Chicken Wrap ,$3.29
Snack N' Go Steak Wrap ,$3.29
Ham & Cheese Flatbread - with Hash Browns ,$5.59
Deluxe Grilled Cheese (Ham or Bacon) - with Hash Browns ,$5.79
"Turkey, Cheddar & Bacon Flatbread - with Hash Browns ",$5.99
Chicken Salad or Tuna Salad Sandwich - with Hash Browns ,$5.39
Chicken Bacon Sandwich - with Hash Browns ,$5.99
Classic Egg & Cheese ,$2.49
"Classic Egg & Cheese with (Ham, Bacon, or Sausage) ",$3.49
Egg White Omelet (Veggie) ,$2.99
"Egg White Omelet with (Ham, Bacon, or Sausage) ",$3.99
Egg & Cheese Wrap ,$1.19
"Egg & Cheese Wrap with (Ham, Bacon, or Sausage) ",$1.39
Angus Steak and Egg Wrap (Limited Time) ,$1.99
Angus Steak and Egg Sandwich (Limited Time) ,$3.99
Angus Steak and Egg Sandwich with Hash Browns & Medium Hot Coffee (Limited Time) ,$6.19
Oatmeal with Medium Coffee ,$3.89
Turkey Sausage Wrap ,$1.39
Turkey Sausage Sandwich ,$3.49
Turkey Sausage Flatbread with Hash Browns & Medium Hot Coffee ,$5.79
Tailgate Breakfast Sandwich (Limited Time) ,$3.99
Tailgate Breakfast Sandwich with Hash Browns & Medium Hot Coffee (Limited Time) ,$6.19
Donut 1 Pc.,$0.95
Donuts 1/2 Dozen,$5.49
Donuts Dozen,$8.99
Muffin 1 Pc.,$1.69
Muffins 4 Pc.,$5.99
Bagel 1 Pc.,$0.89
Bagels 1/2 Dozen,$4.99
Bagel with Cream Cheese 1 Pc.,$1.99
Munchkins 25 Pc.,$5.99
Munchkins 50 Pc.,$8.99
Hash Brown ,$1.29
Croissant ,$1.49
Fancy ,$1.29
Coffee Roll ,$1.29
Croissant Donut (Limited Time) ,$2.49
Coffee Small,$1.59
Coffee Medium,$1.89
Coffee Large,$2.09
Coffee X-Large,$2.29
Iced Coffee Small,$1.99
Iced Coffee Medium,$2.49
Iced Coffee Large,$2.79
Add a Turbo Shot of Espresso to Any Beverage ,$0.49
Add Almond Milk ,$0.50
Dunkaccino Small,$1.69
Dunkaccino Medium,$2.09
Dunkaccino Large,$2.29
Dunkaccino X-Large,$2.49
Vanilla Chai ,$2.15
Cappuccino Small,$2.69
Cappuccino Medium,$3.19
Cappuccino Large,$3.69
Box O' Joe ,$14.99
Hot Chocolate Small,$1.85
Hot Chocolate Medium,$2.15
Hot Chocolate Large,$2.35
Hot Chocolate X-Large,$2.55
Hot Tea Small,$1.59
Hot Tea Medium,$1.89
Hot Tea Large,$2.09
Hot Tea X-Large,$2.29
Latte Small,$2.69
Latte Medium,$3.19
Latte Large,$3.69
Iced Latte Small,$2.99
Iced Latte Medium,$3.59
Iced Latte Large,$3.99
Latte Lite Small,$2.69
Latte Lite Medium,$3.19
Latte Lite Large,$3.69
Iced Latte Lite Small,$2.99
Iced Latte Lite Medium,$3.59
Iced Latte Lite Large,$3.99
Iced Tea or Iced Green Tea (Sweetened or Unsweetened) Small,$1.49
Iced Tea or Iced Green Tea (Sweetened or Unsweetened) Medium,$1.99
Iced Tea or Iced Green Tea (Sweetened or Unsweetened) Large,$2.49
Coolatta Small,$2.99
Coolatta Medium,$3.99
Coolatta Large,$4.99
Frozen Coffee Small,$2.99
Frozen Coffee Medium,$3.99
Frozen Coffee Large,$4.99
Packaged Coffee (Limited Time) 3 lbs.,$21.99
K-Cup Packs (Limited Time) 2 Boxes,$16.99
"Turkey, Cheddar & Bacon Sandwich ",$3.69
Ham & Cheese Sandwich ,$3.69
Chicken Salad ,$3.49
Tune Salad ,$3.49
Tuna Melt ,$3.69
Texas Toast Grilled Cheese ,$2.99
Chicken Biscuit ,$2.99
