Item,Price
2 Pc. Chicken ,$5.99
Doublicious Sandwich ,$5.99
Colonel's Original ,$5.39
2 Chicken Littles ,$5.19
KFC Famous Bowls ,$6.19
Pot Pie ,$6.19
Hot Wings 5 Pc.,$3.79
Hot Wings 10 Pc.,$7.19
Hot Wings 20 Pc.,$13.99
Hot Wings - Combo 5 Pc.,$5.79
Chicken Tenders 3 Pc.,$3.99
Chicken Tenders 6 Pc.,$6.99
Chicken Tenders 12 Pc.,$12.99
Chicken Tenders - Combo 3 Pc.,$5.99
Popcorn Nuggets Large,$3.99
Popcorn Nuggets - Combo ,$5.49
1 Pc. Breast Meal ,$5.49
2 Pc. Meal (White Meat) ,$6.69
2 Pc. Meal (Dark Meat) ,$5.70
3 Pc. Meal (White Meat) ,$8.49
3 Pc. Meal (Dark Meat) ,$7.19
4 Pc. Meal (Dark Meat) ,$8.99
"Drumstick, 1 Chicken Little, 1 Tender, or Popcorn Nuggets, and Individual Side, and Applesauce, or Small Drink ",$3.99
8 Pc. Meal with 2 Large Sides & 4 Biscuits ,$21.49
8 Pc. Chicken Only ,$13.99
12 Pc. Meal with 3 Large Sides & 6 Biscuits ,$29.99
12 Pc. Chicken Only ,$20.49
16 Pc. Meal with 4 Large Sides & 8 Biscuits ,$36.99
16 Pc. Chicken Only ,$24.99
20 Pc. Meal with 5 Large Sides & 10 Biscuits ,$42.99
20 Pc. Chicken Only ,$28.99
Mashed Potatoes Individual,$1.79
Mashed Potatoes Large,$3.59
Potato Wedges Individual,$1.79
Potato Wedges Large,$3.59
Baked Beans Individual,$1.79
Baked Beans Large,$3.59
Cole Slaw Individual,$1.79
Cole Slaw Large,$3.59
Sweet Kernel Corn Individual,$1.79
Sweet Kernel Corn Large,$3.59
Green Beans Individual,$1.79
Green Beans Large,$3.59
Mac & Cheese Individual,$1.79
Mac & Cheese Large,$3.59
3 Hot Wings ,$2.19
1 Chicken Little ,$1.39
2 Biscuits ,$1.49
Go Cup - Popcorn Nuggets & Wedges ,$2.69
Go Cup - Chicken Little & Wedges ,$2.69
Go Cup - 2 Tenders & Wedges ,$2.69
Go Cup - 3 Hot Wings & Wedges ,$2.69
Soft Drink Regular,$1.69
Soft Drink Large,$1.89
Soft Drink Bottle (1.5 Liter),$2.29
Aquafina Water Bottle,$1.69
Tea 1/2 Gallon,$2.29
Lemonade 1/2 Gallon,$3.49
Lemonade Regular,$1.99
Strawberry Lemonade 1/2 Gallon,$3.99
Strawberry Lemonade Regular,$2.29
"Family Meal - 8 Pc. Chicken, 2 Large Mashed Potatoes, Large Gravy, Large Cole Slaw & 4 Biscuits ",$20.00
"Family Meal - 8 Pc. Chicken, 2 Large Mashed Potatoes, Large Gravy, Large Cole Slaw, Large Popcorn Nuggets, 4 Chocolate Chip Cookies & 4 Biscuits ",$25.00
"2 Pc. Drum & Thigh, Mashed Potatoes with Gravy, Biscuit, Medium Drink & Chocolate Chip Cookie ",$5.00
"3 Pc. Tenders, Mashed Potatoes with Gravy, Biscuit, Medium Drink & Chocolate Chip Cookie ",$5.00
"KFC Famous Bowl, Medium Drink & Chocolate Chip Cookie ",$5.00
"Chicken Breast, Mashed Potatoes with Gravy, Biscuit, Medium Drink & Chocolate Chip Cookie ",$5.00
"Pot Pie, Medium Drink & Chocolate Chip Cookie ",$5.00
Lemon Cake ,$3.99
Double Chocolate Chip Cake ,$3.99
Cookies 3 Pc.,$1.29
