Item,Price
Shake Extra Topping ,$0.75
Any 1 Side & 2 Entrees ,$6.80
Any 1 Side & 3 Entrees ,$8.30
Additional Charge - Premium Entree ,$1.25
Any 1 Side & 1 Entree ,$5.80
Additional Charge - Premium Entree ,$1.25
"Any 1 Jr. Side, 1 Jr. Entree, 12 oz. Drink & Cookie ",$4.90
Additional Charge - Premium Entree ,$0.75
2 Large Sides & 3 Large Entrees ,$30.00
Additional Charge - Premium Entree ,$3.75
"Sides (Mixed Veggies, Chow Mein, White Steamed Rice, Brown Steamed Rice or Fried Rice) Medium",$2.70
"Sides (Mixed Veggies, Chow Mein, White Steamed Rice, Brown Steamed Rice or Fried Rice) Large",$3.70
"Entrees (Orange Chicken, String Bean Chicken Breast, Black Pepper Chicken, Kung Pao Chicken, Broccoli Beef, Beijing Beef, SweetFire Chicken Breast, Grilled Teriyaki Chicken, Honey Sesame Chicken Breast or Mushroom Chicken) Small",$3.70
"Entrees (Orange Chicken, String Bean Chicken Breast, Black Pepper Chicken, Kung Pao Chicken, Broccoli Beef, Beijing Beef, SweetFire Chicken Breast, Grilled Teriyaki Chicken, Honey Sesame Chicken Breast or Mushroom Chicken) Medium",$6.90
"Entrees (Orange Chicken, String Bean Chicken Breast, Black Pepper Chicken, Kung Pao Chicken, Broccoli Beef, Beijing Beef, SweetFire Chicken Breast, Grilled Teriyaki Chicken, Honey Sesame Chicken Breast or Mushroom Chicken) Large",$9.70
Premium Entrees (Shanghai Angus Steak or Honey Walnut Shrimp - Limited Time) Small,$4.95
Premium Entrees (Shanghai Angus Steak or Honey Walnut Shrimp - Limited Time) Medium,$9.40
Premium Entrees (Shanghai Angus Steak or Honey Walnut Shrimp - Limited Time) Large,$13.45
Veggie Spring Rolls Small,$1.90
Veggie Spring Rolls Large,$9.70
Chicken Egg Roll Small,$1.90
Chicken Egg Roll Large,$9.70
Cream Cheese Rangoons Small,$1.90
Cream Cheese Rangoons Large,$7.50
Crispy Shrimp 3 Pc.,$1.90
Fountain Drink Small,$1.60
Fountain Drink Medium,$1.80
Fountain Drink Large,$2.00
Bottled Water ,$1.80
Juice ,$1.90
Bottled Drink ,$2.10
