Item,Price
BLT Footlong,$5.50
Big Philly Cheesesteak Footlong,$8.95
Black Forest Ham Footlong,$5.50
Buffalo Chicken Footlong,$7.75
Chicken & Bacon Ranch Melt Footlong,$7.75
Chipotle Chicken Melt with Guacamole Footlong,$8.75
Cold Cut Combo Footlong,$5.50
Italian B.M.T. Footlong,$6.75
Meatball Marinara Footlong,$5.50
Mediterranean Chicken Footlong,$7.75
Mediterranean Steak Footlong,$7.75
Oven Roasted Chicken Footlong,$6.75
Pizza Sub with Cheese Footlong,$5.50
Roast Beef Footlong,$7.75
Spicy Italian Footlong,$5.50
Steak & Cheese Footlong,$7.75
Subway Club Footlong,$7.75
Subway Melt Footlong,$7.75
Sweet Onion Chicken Teriyaki Footlong,$7.75
Tuna Footlong,$6.75
Turkey Breast Footlong,$6.75
Turkey & Bacon Guacamole Footlong,$8.75
Turkey Italiano Melt Footlong,$6.75
Veggie Delite Footlong,$5.50
Veggie Patty Footlong,$6.75
Make It A Meal - 21 oz. Fountain Drink & Side ,$2.50
BLT 6-inch,$3.75
Big Philly Cheesesteak 6-inch,$5.50
Black Forest Ham 6-inch,$3.75
Buffalo Chicken 6-inch,$4.75
Chicken & Bacon Ranch Melt 6-inch,$4.75
Chipotle Chicken Melt with Guacamole 6-inch,$5.25
Cold Cut Combo 6-inch,$3.75
Italian B.M.T. 6-inch,$4.25
Meatball Marinara 6-inch,$3.75
Mediterranean Chicken 6-inch,$4.75
Mediterranean Steak 6-inch,$4.75
Oven Roasted Chicken 6-inch,$4.25
Pizza Sub with Cheese 6-inch,$3.75
Roast Beef 6-inch,$4.75
Spicy Italian 6-inch,$3.75
Steak & Cheese 6-inch,$4.75
Subway Club 6-inch,$4.75
Subway Melt 6-inch,$4.75
Subway Seafood Sensation 6-inch,$4.25
Sweet Onion Chicken Teriyaki 6-inch,$4.75
Tuna 6-inch,$4.25
Turkey & Bacon Guacamole 6-inch,$5.50
Turkey Breast 6-inch,$4.25
Turkey Breast & Black Forest Ham 6-inch,$4.25
Turkey Italiano Melt 6-inch,$4.25
Veggie Delite 6-inch,$3.75
Veggie Patty 6-inch,$4.25
Make It A Meal - 21 oz. Fountain Drink & Side ,$2.50
BLT ,$6.00
Big Philly Cheesesteak ,$7.50
Black Forest Ham ,$6.00
Buffalo Chicken ,$6.00
Chicken & Bacon Ranch Melt ,$6.00
Chipotle Chicken with Guacamole ,$7.50
Cold Cut Combo ,$6.00
Double Chicken ,$7.50
Italian B.M.T. ,$6.00
Meatball Marinara ,$6.00
Mediterranean Chicken ,$6.00
Mediterranean Steak ,$6.00
Oven Roasted Chicken ,$6.00
Pizza Sub with Cheese ,$6.00
Roast Beef ,$6.00
Spicy Italian ,$6.00
Steak & Cheese ,$6.00
Subway Club ,$6.00
Subway Melt ,$6.00
Subway Seafood Sensation ,$6.00
Sweet Onion Chicken Teriyaki ,$6.00
Tuna ,$6.00
Turkey & Bacon Guacamole ,$7.50
Turkey Breast ,$6.00
Turkey Breast & Black Forest Ham ,$6.00
Turkey Italiano ,$6.00
Veggie Delite ,$5.00
Veggie Patty ,$6.00
Apple Slices Bag,$1.50
Chips Bag,$1.10
Cookie 1,$0.65
Cookies 3,$1.70
Cookies 12,$6.00
Coffee 16 oz.,$1.50
Fountain Soft Drink 21 oz.,$1.60
Fountain Soft Drink 30 oz.,$1.80
1% Milk Bottle,$1.60
Dasani Water Bottle,$1.80
Minute Maid Juice Bottle,$1.80
Kids Meal ,$4.50
"Bacon, Egg & Cheese 6-inch Flatbread or Subs",$3.50
"Bacon, Egg & Cheese 12-inch Flatbread or Subs",$5.50
"Black Forrest Ham, Egg & Cheese 6-inch Flatbread or Subs",$3.50
"Black Forrest Ham, Egg & Cheese 12-inch Flatbread or Subs",$5.50
Egg & Cheese Omelet 6-inch Flatbread or Subs,$3.50
Egg & Cheese Omelet 12-inch Flatbread or Subs,$5.50
"Steak, Egg & Cheese 6-inch Flatbread or Subs",$3.50
"Steak, Egg & Cheese 12-inch Flatbread or Subs",$5.50
Add Avocado 6-inch,$0.75
Add Avocado 12-inch,$1.50
Hash Browns ,$1.10
Cheese Flatizza ,$3.50
Pepperoni Flatizza ,$3.50
Spicy Italian Flatizza ,$3.50
Veggie Flatizza ,$3.50
Beef Chili with Beans ,$2.50
Black Bean ,$2.50
Broccoli Cheddar ,$2.50
Creamy Chicken & Dumplings ,$2.50
Homestyle Chicken Noodle ,$2.50
Loaded Baked Potato with Bacon ,$2.50
Poblano Corn Chowder ,$2.50
Tomato Basil ,$2.50
Bacon Salad or 6-inch,$0.75
Bacon Footlong,$1.50
Pepperoni Salad or 6-inch,$0.75
Pepperoni Footlong,$1.50
Avocado Salad or 6-inch,$0.75
Avocado Footlong,$1.50
Double Meat Salad or 6-inch,$1.50
Double Meat Footlong,$3.00
Extra Cheese Salad or 6-inch,$0.30
Extra Cheese Footlong,$0.60
