Item,Price
Whataburger ,$3.09
Whataburger - Meal ,$5.59
Double Meat Whataburger ,$4.59
Double Meat Whataburger - Meal ,$6.74
Triple Meat Whataburger ,$6.09
Triple Meat Whataburger - Meal ,$7.89
Jalapeno & Cheese Whataburger ,$4.09
Jalapeno & Cheese Whataburger - Meal ,$6.09
Bacon & Cheese Whataburger ,$4.79
Bacon & Cheese Whataburger - Meal ,$6.64
Double Meat Whataburger Jr. ,$3.09
Double Meat Whataburger Jr. - Meal ,$5.24
Whataburger Jr. ,$2.19
Whataburger Jr. - Meal ,$4.34
Chop House Cheddar Burger (Limited Time) ,$5.39
Chop House Cheddar Burger - Meal (Limited Time) ,$7.39
Whatachick'n Sandwich ,$3.94
Whatachick'n Sandwich - Meal ,$6.24
Grilled Chicken Sandwich ,$3.94
Grilled Chicken Sandwich - Meal ,$6.24
Chicken Fajita Taco ,$3.94
Chicken Fajita Taco - Meal ,$6.24
Whatachick'n Strips 3 Pc.,$3.89
Whatachick'n Strips - Meal 3 Pc.,$5.99
Whatachick'n Bites 6 Pc.,$3.59
Whatachick'n Bites - Meal 6 Pc.,$5.99
Whatachick'n Bites 9 Pc.,$4.99
Whatachick'n Bites - Meal 9 Pc.,$6.99
Grilled Chicken Melt ,$4.19
Grilled Chicken Melt - Meal ,$6.49
Taquito with Cheese ,$2.54
Taquito with Cheese - Meal ,$4.19
Breakfast On A Bun ,$2.64
Breakfast On A Bun - Meal ,$4.24
Biscuit Sandwich ,$2.79
Biscuit Sandwich - Meal ,$4.29
Pancake Platter ,$3.49
Pancake Platter - Meal ,$4.39
Breakfast Platter ,$3.19
Breakfast Platter - Meal ,$4.39
Honey Butter Chicken Biscuit ,$2.59
Honey Butter Chicken Biscuit - Meal ,$4.24
Biscuit & Gravy ,$2.04
Biscuit & Gravy - Meal ,$3.74
Taquito ,$2.14
Biscuit Sandwich (Egg & Cheese) ,$1.89
Biscuit ,$0.99
Cinnamon Roll 1 Pc.,$1.79
Cinnamon Roll 6 Pc.,$9.29
Pancakes ,$2.59
Egg Sandwich ,$1.74
Hash Brown Sticks ,$1.54
Jalapeno Cheddar Biscuit Sandwich (Limited Time) ,$2.79
Jalapeno Cheddar Biscuit Sandwich - Meal (Limited Time) ,$4.29
Whataburger Patty Melt ,$5.39
Whataburger Patty Melt - Meal ,$7.39
A.1. Thick & Hearty Burger ,$5.39
A.1. Thick & Hearty Burger - Meal ,$7.39
Monterey Melt ,$5.39
Monterey Melt - Meal ,$7.39
Honey BBQ Chicken Strip Sandwich ,$5.39
Honey BBQ Chicken Strip Sandwich - Meal ,$7.39
Jalapenos or Grilled Peppers & Onions ,$0.50
Avocado ,$0.75
Bacon Slice,$0.40
Cheese ,$0.50
Justaburger ,$3.19
Whatachick'n Strips 2 Pc.,$3.79
Whatachick'n Bites 4 Pc.,$3.79
Grilled Cheese ,$3.39
Bacon & Cheese Whataburger Jr. ,$3.39
Double Meat Whataburger Jr. with Cheese ,$3.49
Chicken Fajita Taco ,$3.94
Grilled Chicken Melt ,$4.19
Grilled Chicken Sandwich ,$3.94
Whatacatch Sandwich ,$3.59
Apple & Cranberry Chicken Salad ,$6.29
Garden Salad with Chicken ,$5.99
Garden Salad ,$4.04
Soft Drinks & Tea 16 oz.,$1.29
Soft Drinks & Tea 20 oz.,$1.59
Soft Drinks & Tea 32 oz.,$1.84
Soft Drinks & Tea 44 oz.,$2.09
Coffee 12 oz.,$1.29
Coffee 16 oz.,$1.44
Coffee 20 oz.,$1.69
"Shakes & Malts (Chocolate, Strawberry, or Vanilla) 16 oz.",$2.34
"Shakes & Malts (Chocolate, Strawberry, or Vanilla) 20 oz.",$2.79
"Shakes & Malts (Chocolate, Strawberry, or Vanilla) 32 oz.",$3.29
Orange Juice ,$1.84
Milk ,$1.29
French Fries Small,$1.54
French Fries Medium,$1.84
French Fries Large,$2.09
Onion Rings Medium,$2.09
Onion Rings Large,$2.39
Apple Slices ,$1.49
Hot Apple or Lemon Pie ,$0.99
Fruit Chews ,$0.49
Cinnamon Roll 1 Pc.,$1.79
Cinnamon Roll 6 Pc.,$9.29
Chocolate Chunk Cookie ,$0.99
Sugar Cookie ,$0.99
